0,1,2
3,4,5
6,7,8
9,10,11
12,13,14
15,16,17
18,19,20
21,22,23
24,2,25
26,27,0
1,28,29
25,5,30
29,31,3
4,32,33
30,8,34
33,35,6
7,36,37
34,11,24
37,38,9
10,39,26
40,14,41
42,28,12
13,27,43
44,17,40
45,32,15
16,31,42
46,20,44
47,36,18
19,35,45
41,23,46
43,39,21
22,38,47
48,0,2
0,49,1
2,1,50
50,3,5
3,51,4
5,4,52
52,6,8
6,53,7
8,7,54
54,9,11
9,55,10
11,10,48
56,12,14
12,49,13
14,13,57
58,15,17
15,51,16
17,16,56
59,18,20
18,53,19
20,19,58
57,21,23
21,55,22
23,22,59
60,24,25
24,48,2
25,2,50
48,26,0
26,61,27
0,27,49
50,1,29
1,49,28
29,28,62
60,25,30
25,50,5
30,5,52
50,29,3
29,62,31
3,31,51
52,4,33
4,51,32
33,32,63
60,30,34
30,52,8
34,8,54
52,33,6
33,63,35
6,35,53
54,7,37
7,53,36
37,36,64
60,34,24
34,54,11
24,11,48
54,37,9
37,64,38
9,38,55
48,10,26
10,55,39
26,39,61
65,40,41
40,56,14
41,14,57
56,42,12
42,62,28
12,28,49
57,13,43
13,49,27
43,27,61
65,44,40
44,58,17
40,17,56
58,45,15
45,63,32
15,32,51
56,16,42
16,51,31
42,31,62
65,46,44
46,59,20
44,20,58
59,47,18
47,64,36
18,36,53
58,19,45
19,53,35
45,35,63
65,41,46
41,57,23
46,23,59
57,43,21
43,61,39
21,39,55
59,22,47
22,55,38
47,38,64
