0,1,2
3,4,5
6,7,8
9,10,11
12,13,14
15,16,17
18,19,20
21,22,23
24,25,26
27,28,29
30,31,32
33,34,35
36,37,38
39,40,41
42,43,44
45,46,47
48,49,50
51,52,53
54,55,56
57,58,59
60,61,62
63,64,65
66,67,68
69,70,71
72,73,74
75,76,77
78,79,80
81,82,83
84,85,86
87,88,89
90,91,92
93,94,95
96,2,97
98,99,0
1,100,101
102,5,103
104,105,3
4,106,107
108,8,109
110,111,6
7,112,113
114,11,115
116,117,9
10,118,119
120,14,121
122,123,12
13,124,125
126,17,127
128,129,15
16,130,131
132,20,133
134,135,18
19,136,137
138,23,139
140,141,21
22,142,143
144,26,145
146,97,24
25,101,147
148,29,96
149,150,27
28,151,98
100,32,152
99,153,30
31,154,155
145,35,156
147,103,33
34,107,157
152,38,102
155,158,36
37,159,104
106,41,160
105,161,39
40,162,163
156,44,164
157,109,42
43,113,165
160,47,108
163,166,45
46,167,110
112,50,168
111,169,48
49,170,171
164,53,144
165,115,51
52,119,146
168,56,114
171,172,54
55,173,116
118,59,148
117,174,57
58,175,149
176,62,177
178,121,60
61,125,179
180,65,120
181,154,63
64,153,122
124,68,182
123,151,66
67,150,183
184,71,176
185,127,69
70,131,178
186,74,126
187,162,72
73,161,128
130,77,180
129,159,75
76,158,181
188,80,184
189,133,78
79,137,185
190,83,132
191,170,81
82,169,134
136,86,186
135,167,84
85,166,187
177,89,188
179,139,87
88,143,189
182,92,138
183,175,90
91,174,140
142,95,190
141,173,93
94,172,191
192,0,2
0,193,1
2,1,194
195,3,5
3,196,4
5,4,197
198,6,8
6,199,7
8,7,200
201,9,11
9,202,10
11,10,203
204,12,14
12,205,13
14,13,206
207,15,17
15,208,16
17,16,209
210,18,20
18,211,19
20,19,212
213,21,23
21,214,22
23,22,215
216,24,26
24,194,25
26,25,217
218,27,29
27,219,28
29,28,192
193,30,32
30,220,31
32,31,221
217,33,35
33,197,34
35,34,222
221,36,38
36,223,37
38,37,195
196,39,41
39,224,40
41,40,225
222,42,44
42,200,43
44,43,226
225,45,47
45,227,46
47,46,198
199,48,50
48,228,49
50,49,229
226,51,53
51,203,52
53,52,216
229,54,56
54,230,55
56,55,201
202,57,59
57,231,58
59,58,218
232,60,62
60,206,61
62,61,233
234,63,65
63,220,64
65,64,204
205,66,68
66,219,67
68,67,235
236,69,71
69,209,70
71,70,232
237,72,74
72,224,73
74,73,207
208,75,77
75,223,76
77,76,234
238,78,80
78,212,79
80,79,236
239,81,83
81,228,82
83,82,210
211,84,86
84,227,85
86,85,237
233,87,89
87,215,88
89,88,238
235,90,92
90,231,91
92,91,213
214,93,95
93,230,94
95,94,239
240,96,97
96,192,2
97,2,194
192,98,0
98,241,99
0,99,193
194,1,101
1,193,100
101,100,242
242,102,103
102,195,5
103,5,197
195,104,3
104,243,105
3,105,196
197,4,107
4,196,106
107,106,244
244,108,109
108,198,8
109,8,200
198,110,6
110,245,111
6,111,199
200,7,113
7,199,112
113,112,246
246,114,115
114,201,11
115,11,203
201,116,9
116,247,117
9,117,202
203,10,119
10,202,118
119,118,240
248,120,121
120,204,14
121,14,206
204,122,12
122,241,123
12,123,205
206,13,125
13,205,124
125,124,249
250,126,127
126,207,17
127,17,209
207,128,15
128,243,129
15,129,208
209,16,131
16,208,130
131,130,248
251,132,133
132,210,20
133,20,212
210,134,18
134,245,135
18,135,211
212,19,137
19,211,136
137,136,250
249,138,139
138,213,23
139,23,215
213,140,21
140,247,141
21,141,214
215,22,143
22,214,142
143,142,251
252,144,145
144,216,26
145,26,217
